"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","3","0","0"
"Блок онлайн оплаты","Оплата банк картой","Ввод перс данных","0","0","4","0","0"
